"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 도봉구 창동","347","0347","0000","창동주공3단지(해등마을)","49.9400","202201","01","        75,500","-","11","-","-","1991","해등로 50","-","중개거래","서울 도봉구","-"
"2","서울특별시 금천구 시흥동","1013","1013","0000","관악산벽산타운5","114.8400","202201","01","        77,500","-","11","-","-","2004","금하로 816","-","직거래","-","-"
"3","서울특별시 양천구 신정동","1259","1259","0000","신트리1","49.9500","202201","03","        72,000","-","5","-","-","1999","신정로 293","-","중개거래","서울 양천구","-"
"4","서울특별시 서초구 서초동","1363-25","1363","0025","한라비발디스튜디오193","19.9900","202201","03","        26,000","-","9","-","-","2013","강남대로39길 15-10","-","중개거래","서울 강남구","-"
"5","서울특별시 강북구 번동","760","0760","0000","오동공원현대","84.7848","202201","04","        75,000","-","10","-","-","2001","오현로31길 89","-","중개거래","서울 강북구","-"
"6","서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","59.9800","202201","04","        71,000","-","11","-","-","2004","솔샘로 174","-","중개거래","서울 강북구","-"
"7","서울특별시 강동구 길동","343-2","0343","0002","현대웰하임(201동)","14.4680","202201","04","         8,000","-","4","-","-","2012","천중로49가길 56","-","중개거래","서울 강동구","-"
"8","서울특별시 성동구 성수동1가","718","0718","0000","트리마제","49.6683","202201","05","       207,000","-","15","-","-","2017","왕십리로 16","-","중개거래","서울 성동구","-"
"9","서울특별시 광진구 자양동","784-1","0784","0001","대동","84.6500","202201","05","       131,000","-","6","-","-","1999","뚝섬로31길 20","-","중개거래","서울 광진구","-"
"10","서울특별시 노원구 공릉동","109","0109","0000","비선아파트","48.6000","202201","05","        55,500","-","11","-","-","1999","화랑로51길 78","-","중개거래","서울 노원구","-"
"11","서울특별시 구로구 구로동","110","0110","0000","종인아네스트","16.0400","202201","05","        11,000","-","16","-","-","2012","공원로7길 11","-","중개거래","서울 구로구","-"
"12","서울특별시 구로구 구로동","110","0110","0000","종인아네스트","16.0400","202201","05","        10,950","-","18","-","-","2012","공원로7길 11","-","중개거래","서울 구로구","-"
"13","서울특별시 종로구 숭인동","1392-1","1392","0001","종로아인스빌","12.1500","202201","06","        10,500","-","12","-","-","2013","난계로29가길 19","-","중개거래","서울 종로구","-"
"14","서울특별시 동대문구 청량리동","60","0060","0000","한신","59.9700","202201","06","        80,500","-","3","-","-","1997","제기로 131","-","중개거래","서울 동대문구","-"
"15","서울특별시 노원구 상계동","1305","1305","0000","동양엔파트","84.8800","202201","06","        99,000","-","18","-","-","2003","상계로5길 12","-","중개거래","서울 노원구","-"
"16","서울특별시 노원구 월계동","556","0556","0000","주공2","59.9700","202201","06","        40,000","-","6","-","-","1992","초안산로1길 18","-","직거래","-","-"
"17","서울특별시 성북구 장위동","322","0322","0000","래미안포레카운티","84.9700","202201","07","        90,000","-","9","-","-","2021","장월로 160","-","중개거래","서울 성북구","-"
"18","서울특별시 영등포구 당산동4가","95","0095","0000","당산금호어울림","84.2500","202201","07","       132,500","-","6","-","-","2002","국회대로37길 22","-","중개거래","서울 마포구 서울 영등포구","-"
"19","서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","145.8300","202201","07","       425,000","-","21","-","-","2005","선릉로 206","-","중개거래","서울 강남구","-"
"20","서울특별시 양천구 신월동","987-1","0987","0001","신월시영","59.4900","202201","08","        81,000","-","5","-","-","1988","신월로 99","-","중개거래","서울 양천구","-"
"21","서울특별시 송파구 송파동","119","0119","0000","한양아파트","119.6800","202201","08","       187,500","-","11","-","-","1983","가락로 187","-","중개거래","서울 송파구","-"
"22","서울특별시 은평구 불광동","645","0645","0000","불광롯데캐슬","59.9800","202201","10","        89,000","-","1","-","-","2018","불광로 64","-","중개거래","서울 은평구","-"
"23","서울특별시 구로구 개봉동","476","0476","0000","한마을","59.5700","202201","10","        79,000","-","10","-","-","1999","경인로 382","-","중개거래","서울 강서구 서울 구로구","-"
"24","서울특별시 송파구 오금동","165","0165","0000","상아2차아파트","50.7200","202201","10","        99,000","-","10","-","-","1988","오금로 407","-","중개거래","서울 송파구","-"
"25","서울특별시 송파구 가락동","913","0913","0000","헬리오시티","84.9900","202201","10","       237,000","-","25","-","-","2018","송파대로 345","-","중개거래","서울 송파구","-"
"26","서울특별시 용산구 이촌동","404","0404","0000","한가람","114.9600","202201","11","       283,000","-","17","-","-","1998","이촌로69길 30","-","중개거래","서울 용산구","-"
"27","서울특별시 성동구 금호동4가","1550","1550","0000","브라운스톤2차","84.9800","202201","11","       160,000","-","14","-","-","2010","동호로 93","-","중개거래","서울 성동구","-"
"28","서울특별시 중랑구 신내동","816","0816","0000","신내우디안1단지","84.6500","202201","11","        85,000","-","16","-","-","2014","신내역로1길 85","-","중개거래","서울 중랑구","-"
"29","서울특별시 중랑구 중화동","453","0453","0000","청광플러스원","84.9600","202201","11","        85,500","-","11","-","-","2007","동일로136길 15","-","중개거래","서울 중랑구","-"
"30","서울특별시 강북구 수유동","733","0733","0000","수유역하이씨티","12.0100","202201","11","        10,700","-","11","-","-","2014","도봉로71가길 16","-","직거래","-","-"
"31","서울특별시 강북구 미아동","1353","1353","0000","에스케이북한산시티","84.7600","202201","11","        80,400","-","8","-","-","2004","솔샘로 174","-","중개거래","서울 성북구","-"
"32","서울특별시 서초구 서초동","1337-3","1337","0003","urbanplace","20.9980","202201","11","        19,500","-","4","-","-","2014","효령로77길 30","-","중개거래","서울 서초구","-"
"33","서울특별시 강동구 길동","353-40","0353","0040","유덕휴먼빌","81.9400","202201","11","        61,000","-","1","-","-","2003","천중로54길 9-14","-","중개거래","서울 강동구","-"
"34","서울특별시 송파구 문정동","150","0150","0000","올림픽훼밀리타운","84.7050","202201","11","       193,500","-","10","-","-","1988","중대로 24","-","중개거래","서울 송파구","-"
"35","서울특별시 노원구 중계동","360-2","0360","0002","청구3","84.7700","202201","12","       137,000","-","7","-","-","1996","중계로 233","-","중개거래","서울 노원구","-"
"36","서울특별시 양천구 신월동","1075","1075","0000","목동센트럴아이파크위브1단지","84.9800","202201","12","       134,000","-","11","-","-","2020","남부순환로83길 17","-","중개거래","서울 양천구","-"
"37","서울특별시 구로구 구로동","104-3","0104","0003","해담채3","13.3900","202201","12","        10,500","-","13","-","-","2014","가마산로27길 11-15","-","중개거래","서울 동작구","-"
"38","서울특별시 영등포구 대림동","717","0717","0000","쌍용플래티넘S","18.2400","202201","12","        12,200","-","9","-","-","2013","대림로29길 13","-","직거래","-","-"
"39","서울특별시 영등포구 영등포동4가","103","0103","0000","영등포그랑그루","12.1000","202201","12","        13,000","-","10","-","-","2012","문래로 191","-","중개거래","서울 영등포구","-"
