"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149 / 주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-04-11"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 성동구 옥수동","4","0004","0000","현대","104.4100","202401","27","       148,000","-","3","개인","개인","1990","독서당로40길 25","20240130","중개거래","서울 성동구","-"
"2","서울특별시 성동구 옥수동","4","0004","0000","현대","104.4100","202402","02","       148,000","105","3","개인","개인","1990","독서당로40길 25","-","중개거래","서울 성동구","24.02.08"
"3","서울특별시 성동구 옥수동","4","0004","0000","현대","71.0500","202404","01","       124,750","-","2","개인","개인","1990","독서당로40길 25","-","중개거래","서울 성동구","-"
"4","서울특별시 성동구 옥수동","4","0004","0000","현대","71.0500","202402","22","       124,000","-","11","개인","개인","1990","독서당로40길 25","-","중개거래","서울 성동구","-"
"5","서울특별시 성동구 옥수동","4","0004","0000","현대","71.0500","202401","09","       123,000","107","7","개인","개인","1990","독서당로40길 25","-","중개거래","서울 성동구","24.03.08"
"6","서울특별시 성동구 옥수동","60","0060","0000","풍림아이원","84.7620","202401","26","       166,500","105","10","개인","개인","2004","뚝섬로 51","-","중개거래","서울 성동구","24.01.26"
"7","서울특별시 성동구 옥수동","100","0100","0000","옥수하이츠","84.8600","202402","24","       180,000","-","6","개인","개인","1998","한림말길 50","-","중개거래","서울 성동구","-"
"8","서울특별시 성동구 옥수동","100","0100","0000","옥수하이츠","114.7200","202403","16","       191,000","-","2","개인","개인","1998","한림말길 50","-","중개거래","서울 성동구","-"
"9","서울특별시 성동구 옥수동","100","0100","0000","옥수하이츠","84.8600","202402","03","       170,000","-","7","개인","개인","1998","한림말길 50","-","중개거래","서울 성동구","-"
"10","서울특별시 성동구 옥수동","220-1","0220","0001","한남하이츠","177.1200","202401","08","       355,000","1","6","개인","개인","1982","독서당로 156","-","중개거래","서울 성동구","24.01.29"
"11","서울특별시 성동구 옥수동","220-1","0220","0001","한남하이츠","149.3900","202402","24","       275,000","-","10","개인","개인","1982","독서당로 156","-","중개거래","서울 성동구","-"
"12","서울특별시 성동구 옥수동","220-1","0220","0001","한남하이츠","89.1900","202402","02","       174,800","-","11","개인","개인","1982","독서당로 156","-","중개거래","서울 성동구","-"
"13","서울특별시 성동구 옥수동","220-1","0220","0001","한남하이츠","89.1900","202401","27","       171,000","-","5","개인","개인","1982","독서당로 156","-","중개거래","서울 성동구","-"
"14","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","59.7000","202403","18","       113,500","-","4","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"15","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202403","22","       143,000","-","9","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"16","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","59.7000","202403","01","       114,000","-","19","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"17","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202402","28","       141,000","-","10","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"18","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202402","27","       144,500","-","5","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"19","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202402","07","       142,000","-","8","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"20","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202402","16","       137,000","-","15","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"21","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","84.8220","202402","01","       149,000","-","18","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"22","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","114.6660","202403","23","       165,000","-","5","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"23","서울특별시 성동구 옥수동","250","0250","0000","옥수삼성","114.6660","202403","09","       164,000","-","7","개인","개인","1999","독서당로 218","-","중개거래","서울 성동구","-"
"24","서울특별시 성동구 옥수동","306","0306","0000","옥수","49.4500","202401","12","        49,500","-","4","개인","개인","1975","한림말3길 24","-","중개거래","서울 성동구","24.01.18"
"25","서울특별시 성동구 옥수동","428","0428","0000","극동","57.7800","202403","06","       102,000","-","14","개인","개인","1986","독서당로 191","-","중개거래","서울 서대문구","-"
"26","서울특별시 성동구 옥수동","436","0436","0000","극동그린","114.3200","202402","25","       125,000","-","12","개인","개인","1997","독서당로 175","-","중개거래","서울 성동구","-"
"27","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.5100","202402","14","       170,000","-","9","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"28","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.3000","202403","19","       180,000","-","4","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"29","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202401","17","       153,000","105","6","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","24.02.29"
"30","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202401","06","       148,500","105","9","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","24.02.26"
"31","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202403","04","       153,000","-","11","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"32","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.8800","202403","07","       153,000","-","12","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"33","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.8800","202401","20","       157,000","106","18","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","24.02.08"
"34","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.9100","202402","27","       155,000","-","10","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"35","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202401","15","       144,500","-","1","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"36","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.3000","202403","02","       173,000","-","3","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"37","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.9100","202401","22","       156,000","-","9","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"38","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202403","23","       153,000","-","14","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"39","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202403","16","       153,500","-","9","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"40","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.9100","202403","16","       154,000","-","9","개인","개인","2016","매봉길 50","-","중개거래","서울 서초구","-"
"41","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.7800","202403","02","       153,000","-","17","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"42","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.6400","202402","28","       177,000","-","1","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"43","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","84.5100","202401","20","       170,800","112","6","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","24.02.29"
"44","서울특별시 성동구 옥수동","528","0528","0000","옥수파크힐스101동~116동","59.8800","202403","16","       153,000","-","10","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"45","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.7700","202403","08","       140,000","-","3","개인","법인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"46","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.5900","202401","23","       141,500","-","9","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"47","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.7700","202402","03","       141,000","-","4","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"48","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.7800","202402","24","       142,000","-","2","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"49","서울특별시 성동구 옥수동","528-1","0528","0001","옥수파크힐스117동~125동","59.9100","202403","17","       148,000","-","13","개인","개인","2016","매봉길 50","-","중개거래","서울 성동구","-"
"50","서울특별시 성동구 옥수동","557","0557","0000","극동옥정","59.3400","202403","23","        85,000","-","5","개인","개인","1998","한림말길 24","-","중개거래","서울 성동구","-"
"51","서울특별시 성동구 옥수동","558","0558","0000","옥수이테크빌","84.3700","202401","20","        97,700","-","9","개인","개인","2002","독서당로40길 27","-","중개거래","서울 성동구","-"
"52","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.2500","202403","01","       138,000","-","2","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
"53","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.2500","202403","05","       142,000","-","9","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
"54","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","84.7300","202402","07","       185,000","-","12","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
"55","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.2500","202402","28","       144,000","-","16","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
"56","서울특별시 성동구 옥수동","561","0561","0000","래미안 옥수 리버젠","59.2500","202403","09","       145,000","-","18","개인","개인","2012","매봉길 15","-","중개거래","서울 성동구","-"
